CountryName,RegionName,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings
Afghanistan,,1.21,1.61,0.8,0.8,0.8,1.21,1.21,1.21,0.57,1.21,1.21,0.16
Albania,,1.21,1.61,0.8,0.8,0.8,1.21,1.21,1.21,0.57,1.21,1.21,0.16
Algeria,,1.21,1.61,0.8,0.8,0.8,1.21,1.21,1.21,0.57,1.21,1.21,0.16
Andorra,,1.21,1.61,0.8,0.8,0.8,1.21,1.21,1.21,0.57,1.21,1.21,0.16
Angola,,1.21,1.61,0.8,0.8,0.8,1.21,1.21,1.21,0.57,1.21,1.21,0.16
Argentina,,1.21,1.61,0.8,0.8,0.8,1.21,1.21,1.21,0.57,1.21,1.21,0.16
Aruba,,1.21,1.61,0.8,0.8,0.8,1.21,1.21,1.21,0.57,1.21,1.21,0.16
Australia,,1.21,1.61,0.8,0.8,0.8,1.21,1.21,1.21,0.57,1.21,1.21,0.16
Austria,,1.21,1.61,0.8,0.8,0.8,1.21,1.21,1.21,0.57,1.21,1.21,0.16
Azerbaijan,,1.21,1.61,0.8,0.8,0.8,1.21,1.21,1.21,0.57,1.21,1.21,0.16
Bahamas,,1.21,1.61,0.8,0.8,0.8,1.21,1.21,1.21,0.57,1.21,1.21,0.16
Bahrain,,1.21,1.61,0.8,0.8,0.8,1.21,1.21,1.21,0.57,1.21,1.21,0.16
Bangladesh,,1.21,1.61,0.8,0.8,0.8,1.21,1.21,1.21,0.57,1.21,1.21,0.16
Barbados,,1.21,1.61,0.8,0.8,0.8,1.21,1.21,1.21,0.57,1.21,1.21,0.16
Belarus,,1.21,1.61,0.8,0.8,0.8,1.21,1.21,1.21,0.57,1.21,1.21,0.16
Belgium,,1.21,1.61,0.8,0.8,0.8,1.21,1.21,1.21,0.57,1.21,1.21,0.16
Belize,,1.21,1.61,0.8,0.8,0.8,1.21,1.21,1.21,0.57,1.21,1.21,0.16
Benin,,1.21,1.61,0.8,0.8,0.8,1.21,1.21,1.21,0.57,1.21,1.21,0.16
