CountryName,RegionName,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings
Afghanistan,,1.5,1.5,1,1.5,1,2,1,1,0.3,0.5,0.5,0.2
Albania,,1.5,1.5,1,1.5,1,2,1,1,0.3,0.5,0.5,0.2
Algeria,,1.5,1.5,1,1.5,1,2,1,1,0.3,0.5,0.5,0.2
Andorra,,1.5,1.5,1,1.5,1,2,1,1,0.3,0.5,0.5,0.2
Angola,,1.5,1.5,1,1.5,1,2,1,1,0.3,0.5,0.5,0.2
Argentina,,1.5,1.5,1,1.5,1,2,1,1,0.3,0.5,0.5,0.2
Aruba,,1.5,1.5,1,1.5,1,2,1,1,0.3,0.5,0.5,0.2
Australia,,1.5,1.5,1,1.5,1,2,1,1,0.3,0.5,0.5,0.2
Austria,,1.5,1.5,1,1.5,1,2,1,1,0.3,0.5,0.5,0.2
Azerbaijan,,1.5,1.5,1,1.5,1,2,1,1,0.3,0.5,0.5,0.2
Bahamas,,1.5,1.5,1,1.5,1,2,1,1,0.3,0.5,0.5,0.2
Bahrain,,1.5,1.5,1,1.5,1,2,1,1,0.3,0.5,0.5,0.2
Bangladesh,,1.5,1.5,1,1.5,1,2,1,1,0.3,0.5,0.5,0.2
Barbados,,1.5,1.5,1,1.5,1,2,1,1,0.3,0.5,0.5,0.2
Belarus,,1.5,1.5,1,1.5,1,2,1,1,0.3,0.5,0.5,0.2
Belgium,,1.5,1.5,1,1.5,1,2,1,1,0.3,0.5,0.5,0.2
Belize,,1.5,1.5,1,1.5,1,2,1,1,0.3,0.5,0.5,0.2
Benin,,1.5,1.5,1,1.5,1,2,1,1,0.3,0.5,0.5,0.2
Bermuda,,1.5,1.5,1,1.5,1,2,1,1,0.3,0.5,0.5,0.2
Bhutan,,1.5,1.5,1,1.5,1,2,1,1,0.3,0.5,0.5,0.2
Bolivia,,1.5,1.5,1,1.5,1,2,1,1,0.3,0.5,0.5,0.2
Bosnia and Herzegovina,,1.5,1.5,1,1.5,1,2,1,1,0.3,0.5,0.5,0.2
Botswana,,1.5,1.5,1,1.5,1,2,1,1,0.3,0.5,0.5,0.2
Brazil,,1.5,1.5,1,1.5,1,2,1,1,0.3,0.5,0.5,0.2
Brunei,,1.5,1.5,1,1.5,1,2,1,1,0.3,0.5,0.5,0.2
Bulgaria,,1.5,1.5,1,1.5,1,2,1,1,0.3,0.5,0.5,0.2
Burkina Faso,,1.5,1.5,1,1.5,1,2,1,1,0.3,0.5,0.5,0.2
Burundi,,1.5,1.5,1,1.5,1,2,1,1,0.3,0.5,0.5,0.2
Cambodia,,1.5,1.5,1,1.5,1,2,1,1,0.3,0.5,0.5,0.2
Cameroon,,1.5,1.5,1,1.5,1,2,1,1,0.3,0.5,0.5,0.2
Canada,,1.5,1.5,1,1.5,1,2,1,1,0.3,0.5,0.5,0.2
Cape Verde,,1.5,1.5,1,1.5,1,2,1,1,0.3,0.5,0.5,0.2
Central African Republic,,1.5,1.5,1,1.5,1,2,1,1,0.3,0.5,0.5,0.2
Chad,,1.5,1.5,1,1.5,1,2,1,1,0.3,0.5,0.5,0.2
Chile,,1.5,1.5,1,1.5,1,2,1,1,0.3,0.5,0.5,0.2
China,,1.5,1.5,1,1.5,1,2,1,1,0.3,0.5,0.5,0.2
Colombia,,1.5,1.5,1,1.5,1,2,1,1,0.3,0.5,0.5,0.2
Comoros,,1.5,1.5,1,1.5,1,2,1,1,0.3,0.5,0.5,0.2
Congo,,1.5,1.5,1,1.5,1,2,1,1,0.3,0.5,0.5,0.2
Costa Rica,,1.5,1.5,1,1.5,1,2,1,1,0.3,0.5,0.5,0.2
Cote d'Ivoire,,1.5,1.5,1,1.5,1,2,1,1,0.3,0.5,0.5,0.2
Croatia,,1.5,1.5,1,1.5,1,2,1,1,0.3,0.5,0.5,0.2
Cuba,,1.5,1.5,1,1.5,1,2,1,1,0.3,0.5,0.5,0.2
Cyprus,,1.5,1.5,1,1.5,1,2,1,1,0.3,0.5,0.5,0.2
Czech Republic,,1.5,1.5,1,1.5,1,2,1,1,0.3,0.5,0.5,0.2
Democratic Republic of Congo,,1.5,1.5,1,1.5,1,2,1,1,0.3,0.5,0.5,0.2
Denmark,,1.5,1.5,1,1.5,1,2,1,1,0.3,0.5,0.5,0.2
Djibouti,,1.5,1.5,1,1.5,1,2,1,1,0.3,0.5,0.5,0.2
