CountryName,RegionName,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings
Afghanistan,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Albania,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Algeria,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Andorra,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Angola,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Argentina,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Aruba,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Australia,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Austria,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Azerbaijan,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Bahamas,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Bahrain,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Bangladesh,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Barbados,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Belarus,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Belgium,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Belize,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Benin,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Bermuda,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Bhutan,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Bolivia,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Bosnia and Herzegovina,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Botswana,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Brazil,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Brunei,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Bulgaria,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Burkina Faso,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Burundi,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Cambodia,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Cameroon,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Canada,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Cape Verde,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Central African Republic,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Chad,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Chile,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
China,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Colombia,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Comoros,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Congo,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Costa Rica,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Cote d'Ivoire,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Croatia,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Cuba,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
Cyprus,,1.75,1.75,1,1.25,1.25,1.25,1.5,1.25,0.25,0.25,0.25,0.25
