CountryName,RegionName,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings
Afghanistan,,1,0.75,0.5,0.75,1.75,0.75,1.25,0.25,0.25,1.75,2.5,0.5
Albania,,1,0.75,0.5,0.75,1.75,0.75,1.25,0.25,0.25,1.75,2.5,0.5
Algeria,,1,0.75,0.5,0.75,1.75,0.75,1.25,0.25,0.25,1.75,2.5,0.5
Andorra,,1,0.75,0.5,0.75,1.75,0.75,1.25,0.25,0.25,1.75,2.5,0.5
Angola,,1,0.75,0.5,0.75,1.75,0.75,1.25,0.25,0.25,1.75,2.5,0.5
Argentina,,1,0.75,0.5,0.75,1.75,0.75,1.25,0.25,0.25,1.75,2.5,0.5
Aruba,,1,0.75,0.5,0.75,1.75,0.75,1.25,0.25,0.25,1.75,2.5,0.5
Australia,,1,0.75,0.5,0.75,1.75,0.75,1.25,0.25,0.25,1.75,2.5,0.5
Austria,,1,0.75,0.5,0.75,1.75,0.75,1.25,0.25,0.25,1.75,2.5,0.5
Azerbaijan,,1,0.75,0.5,0.75,1.75,0.75,1.25,0.25,0.25,1.75,2.5,0.5
Bahamas,,1,0.75,0.5,0.75,1.75,0.75,1.25,0.25,0.25,1.75,2.5,0.5
Bahrain,,1,0.75,0.5,0.75,1.75,0.75,1.25,0.25,0.25,1.75,2.5,0.5
Bangladesh,,1,0.75,0.5,0.75,1.75,0.75,1.25,0.25,0.25,1.75,2.5,0.5
Barbados,,1,0.75,0.5,0.75,1.75,0.75,1.25,0.25,0.25,1.75,2.5,0.5
Belarus,,1,0.75,0.5,0.75,1.75,0.75,1.25,0.25,0.25,1.75,2.5,0.5
Belgium,,1,0.75,0.5,0.75,1.75,0.75,1.25,0.25,0.25,1.75,2.5,0.5
Belize,,1,0.75,0.5,0.75,1.75,0.75,1.25,0.25,0.25,1.75,2.5,0.5
Benin,,1,0.75,0.5,0.75,1.75,0.75,1.25,0.25,0.25,1.75,2.5,0.5
Bermuda,,1,0.75,0.5,0.75,1.75,0.75,1.25,0.25,0.25,1.75,2.5,0.5
Bhutan,,1,0.75,0.5,0.75,1.75,0.75,1.25,0.25,0.25,1.75,2.5,0.5
Bolivia,,1,0.75,0.5,0.75,1.75,0.75,1.25,0.25,0.25,1.75,2.5,0.5
Bosnia and Herzegovina,,1,0.75,0.5,0.75,1.75,0.75,1.25,0.25,0.25,1.75,2.5,0.5
Botswana,,1,0.75,0.5,0.75,1.75,0.75,1.25,0.25,0.25,1.75,2.5,0.5
Brazil,,1,0.75,0.5,0.75,1.75,0.75,1.25,0.25,0.25,1.75,2.5,0.5
Brunei,,1,0.75,0.5,0.75,1.75,0.75,1.25,0.25,0.25,1.75,2.5,0.5
Bulgaria,,1,0.75,0.5,0.75,1.75,0.75,1.25,0.25,0.25,1.75,2.5,0.5
Burkina Faso,,1,0.75,0.5,0.75,1.75,0.75,1.25,0.25,0.25,1.75,2.5,0.5
Burundi,,1,0.75,0.5,0.75,1.75,0.75,1.25,0.25,0.25,1.75,2.5,0.5
Cambodia,,1,0.75,0.5,0.75,1.75,0.75,1.25,0.25,0.25,1.75,2.5,0.5
Cameroon,,1,0.75,0.5,0.75,1.75,0.75,1.25,0.25,0.25,1.75,2.5,0.5
Canada,,1,0.75,0.5,0.75,1.75,0.75,1.25,0.25,0.25,1.75,2.5,0.5
Cape Verde,,1,0.75,0.5,0.75,1.75,0.75,1.25,0.25,0.25,1.75,2.5,0.5
Central African Republic,,1,0.75,0.5,0.75,1.75,0.75,1.25,0.25,0.25,1.75,2.5,0.5
Chad,,1,0.75,0.5,0.75,1.75,0.75,1.25,0.25,0.25,1.75,2.5,0.5
Chile,,1,0.75,0.5,0.75,1.75,0.75,1.25,0.25,0.25,1.75,2.5,0.5
China,,1,0.75,0.5,0.75,1.75,0.75,1.25,0.25,0.25,1.75,2.5,0.5
Colombia,,1,0.75,0.5,0.75,1.75,0.75,1.25,0.25,0.25,1.75,2.5,0.5
Comoros,,1,0.75,0.5,0.75,1.75,0.75,1.25,0.25,0.25,1.75,2.5,0.5
Congo,,1,0.75,0.5,0.75,1.75,0.75,1.25,0.25,0.25,1.75,2.5,0.5
Costa Rica,,1,0.75,0.5,0.75,1.75,0.75,1.25,0.25,0.25,1.75,2.5,0.5
Cote d'Ivoire,,1,0.75,0.5,0.75,1.75,0.75,1.25,0.25,0.25,1.75,2.5,0.5
Croatia,,1,0.75,0.5,0.75,1.75,0.75,1.25,0.25,0.25,1.75,2.5,0.5
Cuba,,1,0.75,0.5,0.75,1.75,0.75,1.25,0.25,0.25,1.75,2.5,0.5
Cyprus,,1,0.75,0.5,0.75,1.75,0.75,1.25,0.25,0.25,1.75,2.5,0.5
Czech Republic,,1,0.75,0.5,0.75,1.75,0.75,1.25,0.25,0.25,1.75,2.5,0.5
Democratic Republic of Congo,,1,0.75,0.5,0.75,1.75,0.75,1.25,0.25,0.25,1.75,2.5,0.5
Denmark,,1,0.75,0.5,0.75,1.75,0.75,1.25,0.25,0.25,1.75,2.5,0.5
Djibouti,,1,0.75,0.5,0.75,1.75,0.75,1.25,0.25,0.25,1.75,2.5,0.5
Dominica,,1,0.75,0.5,0.75,1.75,0.75,1.25,0.25,0.25,1.75,2.5,0.5
Dominican Republic,,1,0.75,0.5,0.75,1.75,0.75,1.25,0.25,0.25,1.75,2.5,0.5
Ecuador,,1,0.75,0.5,0.75,1.75,0.75,1.25,0.25,0.25,1.75,2.5,0.5
Egypt,,1,0.75,0.5,0.75,1.75,0.75,1.25,0.25,0.25,1.75,2.5,0.5
El Salvador,,1,0.75,0.5,0.75,1.75,0.75,1.25,0.25,0.25,1.75,2.5,0.5
Eritrea,,1,0.75,0.5,0.75,1.75,0.75,1.25,0.25,0.25,1.75,2.5,0.5
Estonia,,1,0.75,0.5,0.75,1.75,0.75,1.25,0.25,0.25,1.75,2.5,0.5
Eswatini,,1,0.75,0.5,0.75,1.75,0.75,1.25,0.25,0.25,1.75,2.5,0.5
Ethiopia,,1,0.75,0.5,0.75,1.75,0.75,1.25,0.25,0.25,1.75,2.5,0.5
Faeroe Islands,,1,0.75,0.5,0.75,1.75,0.75,1.25,0.25,0.25,1.75,2.5,0.5
Fiji,,1,0.75,0.5,0.75,1.75,0.75,1.25,0.25,0.25,1.75,2.5,0.5
Finland,,1,0.75,0.5,0.75,1.75,0.75,1.25,0.25,0.25,1.75,2.5,0.5
France,,1,0.75,0.5,0.75,1.75,0.75,1.25,0.25,0.25,1.75,2.5,0.5
Gabon,,1,0.75,0.5,0.75,1.75,0.75,1.25,0.25,0.25,1.75,2.5,0.5
Gambia,,1,0.75,0.5,0.75,1.75,0.75,1.25,0.25,0.25,1.75,2.5,0.5
Georgia,,1,0.75,0.5,0.75,1.75,0.75,1.25,0.25,0.25,1.75,2.5,0.5
Germany,,1,0.75,0.5,0.75,1.75,0.75,1.25,0.25,0.25,1.75,2.5,0.5
Ghana,,1,0.75,0.5,0.75,1.75,0.75,1.25,0.25,0.25,1.75,2.5,0.5
Greece,,1,0.75,0.5,0.75,1.75,0.75,1.25,0.25,0.25,1.75,2.5,0.5
Greenland,,1,0.75,0.5,0.75,1.75,0.75,1.25,0.25,0.25,1.75,2.5,0.5
Guam,,1,0.75,0.5,0.75,1.75,0.75,1.25,0.25,0.25,1.75,2.5,0.5
Guatemala,,1,0.75,0.5,0.75,1.75,0.75,1.25,0.25,0.25,1.75,2.5,0.5
Guinea,,1,0.75,0.5,0.75,1.75,0.75,1.25,0.25,0.25,1.75,2.5,0.5
Guyana,,1,0.75,0.5,0.75,1.75,0.75,1.25,0.25,0.25,1.75,2.5,0.5
Haiti,,1,0.75,0.5,0.75,1.75,0.75,1.25,0.25,0.25,1.75,2.5,0.5
Honduras,,1,0.75,0.5,0.75,1.75,0.75,1.25,0.25,0.25,1.75,2.5,0.5
Hong Kong,,1,0.75,0.5,0.75,1.75,0.75,1.25,0.25,0.25,1.75,2.5,0.5
Hungary,,1,0.75,0.5,0.75,1.75,0.75,1.25,0.25,0.25,1.75,2.5,0.5
Iceland,,1,0.75,0.5,0.75,1.75,0.75,1.25,0.25,0.25,1.75,2.5,0.5
India,,1,0.75,0.5,0.75,1.75,0.75,1.25,0.25,0.25,1.75,2.5,0.5
Indonesia,,1,0.75,0.5,0.75,1.75,0.75,1.25,0.25,0.25,1.75,2.5,0.5
Iran,,1,0.75,0.5,0.75,1.75,0.75,1.25,0.25,0.25,1.75,2.5,0.5
Iraq,,1,0.75,0.5,0.75,1.75,0.75,1.25,0.25,0.25,1.75,2.5,0.5
Ireland,,1,0.75,0.5,0.75,1.75,0.75,1.25,0.25,0.25,1.75,2.5,0.5
Israel,,1,0.75,0.5,0.75,1.75,0.75,1.25,0.25,0.25,1.75,2.5,0.5
Italy,,1,0.75,0.5,0.75,1.75,0.75,1.25,0.25,0.25,1.75,2.5,0.5
Jamaica,,1,0.75,0.5,0.75,1.75,0.75,1.25,0.25,0.25,1.75,2.5,0.5
Japan,,1,0.75,0.5,0.75,1.75,0.75,1.25,0.25,0.25,1.75,2.5,0.5
Jordan,,1,0.75,0.5,0.75,1.75,0.75,1.25,0.25,0.25,1.75,2.5,0.5
Kazakhstan,,1,0.75,0.5,0.75,1.75,0.75,1.25,0.25,0.25,1.75,2.5,0.5
