CountryName,RegionName,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings
Afghanistan,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Albania,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Algeria,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Andorra,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Angola,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Argentina,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Aruba,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Australia,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Austria,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Azerbaijan,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Bahamas,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Bahrain,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Bangladesh,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Barbados,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Belarus,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Belgium,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Belize,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Benin,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Bermuda,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Bhutan,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Bolivia,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Bosnia and Herzegovina,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Botswana,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Brazil,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Brunei,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Bulgaria,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Burkina Faso,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Burundi,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Cambodia,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Cameroon,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Canada,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Cape Verde,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Central African Republic,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Chad,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Chile,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
China,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Colombia,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Comoros,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Congo,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Costa Rica,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Cote d'Ivoire,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Croatia,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Cuba,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Cyprus,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Czech Republic,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Democratic Republic of Congo,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Denmark,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Djibouti,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Dominica,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Dominican Republic,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Ecuador,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Egypt,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
El Salvador,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Eritrea,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Estonia,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Eswatini,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Ethiopia,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Faeroe Islands,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Fiji,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Finland,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
France,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Gabon,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Gambia,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Georgia,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Germany,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Ghana,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Greece,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Greenland,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Guam,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Guatemala,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Guinea,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Guyana,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Haiti,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Honduras,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Hong Kong,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Hungary,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Iceland,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
India,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Indonesia,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Iran,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Iraq,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Ireland,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Israel,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Italy,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Jamaica,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Japan,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Jordan,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Kazakhstan,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Kenya,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Kosovo,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Kuwait,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Kyrgyz Republic,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Laos,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Latvia,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Lebanon,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Lesotho,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Liberia,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Libya,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Lithuania,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Luxembourg,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Macao,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Madagascar,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Malawi,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Malaysia,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Mali,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Mauritania,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Mauritius,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Mexico,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Moldova,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Monaco,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Mongolia,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Morocco,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Mozambique,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Myanmar,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Namibia,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Nepal,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Netherlands,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
New Zealand,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Nicaragua,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Niger,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Nigeria,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Norway,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Oman,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Pakistan,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Palestine,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Panama,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Papua New Guinea,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Paraguay,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Peru,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Philippines,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Poland,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Portugal,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Puerto Rico,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Qatar,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Romania,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Russia,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
Rwanda,,1.1,1.45,0.73,0.73,1.45,2.2,1.8,1.1,0.36,0.36,0.36,0.36
