CountryName,RegionName,Date,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings
China,,2020-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
China,,2020-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
China,,2020-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
China,,2020-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
China,,2020-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0
China,,2020-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0
China,,2020-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0
China,,2020-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0
China,,2020-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0
China,,2020-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0
China,,2020-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0
China,,2020-01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0
China,,2020-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0
China,,2020-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0
China,,2020-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0
China,,2020-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0
China,,2020-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0
China,,2020-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0
China,,2020-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0
China,,2020-01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0
China,,2020-01-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0
China,,2020-01-22,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,3.0
China,,2020-01-23,0.0,0.0,2.0,4.0,2.0,1.0,2.0,0.0,2.0,1.0,2.0,3.0
China,,2020-01-24,0.0,0.0,2.0,4.0,2.0,1.0,2.0,0.0,2.0,1.0,2.0,3.0
China,,2020-01-25,0.0,0.0,2.0,4.0,2.0,1.0,2.0,0.0,2.0,1.0,2.0,3.0
China,,2020-01-26,3.0,3.0,2.0,4.0,2.0,1.0,2.0,0.0,2.0,1.0,2.0,3.0
China,,2020-01-27,3.0,3.0,2.0,4.0,2.0,1.0,2.0,0.0,2.0,1.0,2.0,3.0
China,,2020-01-28,3.0,3.0,2.0,4.0,2.0,1.0,2.0,0.0,2.0,1.0,2.0,3.0
China,,2020-01-29,3.0,3.0,2.0,4.0,2.0,1.0,2.0,0.0,2.0,1.0,2.0,3.0
China,,2020-01-30,3.0,3.0,2.0,4.0,2.0,1.0,2.0,0.0,2.0,1.0,2.0,3.0
China,,2020-01-31,3.0,3.0,2.0,4.0,2.0,1.0,2.0,0.0,2.0,1.0,2.0,3.0
China,,2020-02-01,3.0,3.0,2.0,4.0,2.0,3.0,2.0,0.0,2.0,1.0,2.0,3.0
China,,2020-02-02,3.0,3.0,2.0,4.0,2.0,3.0,2.0,0.0,2.0,1.0,2.0,3.0
China,,2020-02-03,3.0,3.0,2.0,4.0,2.0,3.0,2.0,0.0,2.0,1.0,2.0,3.0
China,,2020-02-04,3.0,3.0,2.0,4.0,2.0,3.0,2.0,0.0,2.0,1.0,2.0,3.0
China,,2020-02-05,3.0,3.0,2.0,4.0,2.0,3.0,2.0,0.0,2.0,1.0,2.0,3.0
China,,2020-02-06,3.0,3.0,2.0,4.0,2.0,3.0,2.0,0.0,2.0,1.0,2.0,3.0
China,,2020-02-07,3.0,3.0,2.0,4.0,2.0,3.0,2.0,0.0,2.0,1.0,2.0,3.0
China,,2020-02-08,3.0,3.0,2.0,4.0,2.0,3.0,2.0,0.0,2.0,1.0,2.0,3.0
China,,2020-02-09,3.0,3.0,2.0,4.0,2.0,3.0,2.0,0.0,2.0,1.0,2.0,3.0
China,,2020-02-10,3.0,3.0,2.0,4.0,2.0,3.0,2.0,0.0,2.0,1.0,2.0,3.0
China,,2020-02-11,3.0,3.0,2.0,4.0,2.0,3.0,2.0,0.0,2.0,1.0,2.0,3.0
China,,2020-02-12,3.0,3.0,2.0,4.0,2.0,3.0,2.0,0.0,2.0,1.0,2.0,3.0
China,,2020-02-13,3.0,3.0,2.0,4.0,2.0,3.0,2.0,0.0,2.0,1.0,2.0,3.0
China,,2020-02-14,3.0,3.0,2.0,4.0,2.0,3.0,2.0,0.0,2.0,1.0,2.0,3.0
